facility_code,facility_name,facility_major_type,facility_type,facility_category,ownership_major,is_private,is_licensed,city_raw,city_norm,barangay,service_capability,doh_level,service_level_weight,bed_capacity,license_status
DOH000000000002520,LINGUNAN HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF VALENZUELA,VALENZUELA,LINGUNAN,,0,1.5,0,
DOH000000000040694,LITTLE ANGEL'S CARE LYING-IN AND MEDICAL CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF MARIKINA,MARIKINA,PARANG,,0,1.5,2,Licensing Status:With License
DOH000000000051049,LITTLE MIRACLES MATERNITY CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF LAS PI?AS,LAS PINAS,PULANG LUPA DOS,,0,1.5,3,Licensing Status:With License
DOH000000000043852,"LIVEWELL DIAGNOSTIC AND MULTI-SPECIALTY CLINIC, INC.",Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF VALENZUELA,VALENZUELA,GEN. T. DE LEON,,0,1.5,0,Licensing Status:With License
DOH000000000052466,LIVEWELL DIAGNOSTIC CLINIC CORPORATION,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF MARIKINA,MARIKINA,SAN ROQUE,,0,1.5,0,Licensing Status:With License
DOH000000000042089,LIVEWELL DIALYSIS CENTER OF MANILA INC.,Health Facility,Dialysis Clinic,dialysis,Private,1,1,MALATE,MANILA,BARANGAY 689,,0,2.0,0,Licensing Status:With License
DOH000000000033202,LIZA AGUILAR-RACUYA LYING IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF PASIG,PASIG,PINAGBUHATAN,,0,1.5,3,Licensing Status:With License
DOH000000000053949,LJV BIRTHING HOME,Health Facility,Birthing Home,birthing,Private,1,0,QUEZON CITY,QUEZON CITY,COMMONWEALTH,,0,1.5,1,Licensing Status:Without License
DOH000000000046642,LLA BIRTHING CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,QUEZON CITY,QUEZON CITY,GULOD,,0,1.5,1,Licensing Status:With License
DOH000000000027926,LLANO HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF CALOOCAN,CALOOCAN,BARANGAY 167,,0,1.5,0,
DOH000000000051382,LLG MEDICAL AND LYING-IN CLINIC CO.,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF MUNTINLUPA,MUNTINLUPA,TUNASAN,,0,1.5,2,Licensing Status:With License
DOH000000000049645,"LLN MEDICAL SERVICES, INC.",Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,MALATE,MANILA,BARANGAY 694,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000054145,LNS LABORATORY AND DIAGNOSTIC CENTER,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 184,,0,1.5,0,Licensing Status:With License
DOH000000000007264,LONGOS SUPER HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF MALABON,MALABON,LONGOS,,0,1.5,0,
DOH000000000039338,"LOVE YOURSELF (VINN ADVOCACY FOR LGBT - MSM), INC.",Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF MANDALUYONG,MANDALUYONG,WACK-WACK GREENHILLS,Level 2,2,3.0,0,Licensing Status:With License
DOH000000000046903,LOVING MOTHER DIAGNOSTIC AND DIALYSIS CENTER,Health Facility,Dialysis Clinic,dialysis,Private,1,1,QUEZON CITY,QUEZON CITY,BAGONG LIPUNAN NG CRAME,,0,2.0,0,Licensing Status:With License
DOH000000000037094,LOWER TIBAGAN GENERAL TIBURCIO DE LEON HEALTH STATION,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF VALENZUELA,VALENZUELA,GEN. T. DE LEON,,0,1.5,0,
DOH000000000040938,LOWER TIBAGAN UGONG HEALTH STATION,Health Facility,Barangay Health Station,bhs,Government,0,0,CITY OF VALENZUELA,VALENZUELA,UGONG,,0,1.5,0,
DOH000000000041658,LTA DIALYSIS CENTER,Health Facility,Dialysis Clinic,dialysis,Private,1,1,CITY OF MAKATI,MAKATI,GUADALUPE VIEJO,,0,2.0,0,Licensing Status:With License
DOH000000000052452,LUCASJOY MEDICAL SERVICES,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 161,,0,1.5,6,Licensing Status:With License
DOH000000000052433,LUCIS URGENT CARE AND DIAGNOSTIC CENTER,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,BAGONG LIPUNAN NG CRAME,,0,1.5,0,Licensing Status:With License
DOH000000000006028,LUNG CENTER OF THE PHILIPPINES,Health Facility,Hospital,hospital,Government,0,1,QUEZON CITY,QUEZON CITY,CENTRAL,Level 3,3,4.0,237,Licensing Status:With License
DOH000000000039003,LUNG CENTER OF THE PHILIPPINES (GENEXPERT),Health Facility,COVID-19 Testing Laboratory,laboratory,Government,0,1,QUEZON CITY,QUEZON CITY,CENTRAL,,0,1.0,0,Licensing Status:With License
DOH000000000038978,LUNG CENTER OF THE PHILIPPINES (LCP),Health Facility,COVID-19 Testing Laboratory,laboratory,Government,0,1,QUEZON CITY,QUEZON CITY,CENTRAL,,0,1.0,0,Licensing Status:With License
DOH000000000005357,LUPANG PANGAKO HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,QUEZON CITY,QUEZON CITY,PAYATAS,Level 1,1,2.5,0,
DOH000000000040679,LUZ L. PILLODAR LYING IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF TAGUIG,TAGUIG,USUSAN,,0,1.5,1,Licensing Status:With License
DOH000000000000860,LUZVIMINDA HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,1,SAMPALOC,MANILA,BARANGAY 558,,0,1.5,0,Licensing Status:With License
DOH000000000052478,M DIAGNOSTICS PHILIPPINES INC.,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF PASIG,PASIG,SAN ANTONIO,,0,1.5,0,Licensing Status:With License
DOH000000000040947,M. AMPARO MEDICAL CLINIC AND LABORATORY,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF VALENZUELA,VALENZUELA,BIGNAY,,0,1.5,0,Licensing Status:With License
DOH000000000003843,M. DELA CRUZ HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,1,PASAY CITY,PASAY,BARANGAY 128,,0,1.5,0,Licensing Status:With License
DOH000000000003840,M. EARNSHAW HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,1,SAMPALOC,MANILA,BARANGAY 458,,0,1.5,0,Licensing Status:With License
